gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
8,300,256,20,105,0,tardos,0.125,0,age,0.0004106097175670075,0.00019137039585125437,0.001064695114529568,4.534501553164277e-06,0.03034304843217373,0.0012284634992782428,1.0
8,300,256,20,105,0,tardos,0.125,0,fnlwgt,0.00010353176869352398,0.00038398771125764227,0.0025814169246604272,2.6923379414696506e-05,228.53468873805667,0.0011977519117963853,1.0
8,300,256,20,105,0,tardos,0.125,0,education-num,2.86641483165558e-05,0.00019091503230898825,0.0002676020009636118,2.8695594095145873e-07,0.00042996222474758023,6.14231749639137e-05,1.0
8,300,256,20,105,0,tardos,0.125,0,capital-gain,0.001766601923259491,0.10295287774985523,0.04365047485970077,0.0073429954471321765,176.658425724024,0.005251681459414681,0.7581980002785669
8,300,256,20,105,0,tardos,0.125,0,capital-loss,0.0016074653580202614,0.03699403981536443,0.02014788885749372,0.0015818083371963835,7.002119099536218,0.0038696600227264843,0.9670291197894959
8,300,256,20,105,0,tardos,0.125,0,hours-per-week,3.5725724213692475e-05,0.0038036674932519364,0.002833402212606636,3.207191832281528e-05,0.04520745677344021,0.001996253186327207,0.9999999346522318
8,300,256,20,106,0,tardos,0.125,0,age,0.0003458208891803934,0.0010706041182079538,0.001470580984905447,8.657713623064148e-06,0.02954454715764215,0.0015355793740978452,0.9999999999997871
8,300,256,20,106,0,tardos,0.125,0,fnlwgt,1.3125187460089857e-05,0.0005868846186546791,0.0028172395812917396,3.239559822819603e-05,161.86784803905616,0.0009213476244587238,1.0
8,300,256,20,106,0,tardos,0.125,0,education-num,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,300,256,20,106,0,tardos,0.125,0,capital-gain,0.001662379573336597,0.09395879713254565,0.040518989970581246,0.00633581544538794,166.2362949540836,0.005620220509198193,0.6804221294594179
8,300,256,20,106,0,tardos,0.125,0,capital-loss,0.0016584398248463738,0.03975838143699656,0.021067760381887624,0.001730196990610019,7.224163877030833,0.0038389484352446823,0.9693413153548728
8,300,256,20,106,0,tardos,0.125,0,hours-per-week,1.253534182903506e-06,0.0034921021796005098,0.002655814497861989,2.8183422929073508e-05,0.044838917723656835,0.0018426952489174475,0.9999999972560354
8,300,256,20,107,0,tardos,0.125,0,age,0.0002974396212293448,0.0008439634884894293,0.0011396889139953237,5.194658910675587e-06,0.02429286569822811,0.0012898866742422355,1.0
8,300,256,20,107,0,tardos,0.125,0,fnlwgt,8.509084141223187e-06,0.0013189710003072715,0.0015708791535692817,9.857172342138023e-06,179.74248333896335,0.001074905561868511,1.0
8,300,256,20,107,0,tardos,0.125,0,education-num,2.047439165527483e-06,3.5177289108239036e-05,0.00016061004871146452,1.0323043027092508e-07,3.071158748195642e-05,3.071158748195642e-05,1.0
8,300,256,20,107,0,tardos,0.125,0,capital-gain,0.002025872351718204,0.11183648793297442,0.04832444142432364,0.008952041463567388,202.58520929946516,0.006142317496391381,0.5686969782342534
8,300,256,20,107,0,tardos,0.125,0,capital-loss,0.0014624948204160393,0.031861634723109,0.017589732478809513,0.0012112260881782947,6.370627437732269,0.003623967322870847,0.9825850353127182
8,300,256,20,107,0,tardos,0.125,0,hours-per-week,4.168001158266539e-05,0.004212111167280454,0.003061762492291005,3.746478721162943e-05,0.05162617855716926,0.0020269647738091756,0.9999998869405597
8,300,256,20,108,0,tardos,0.125,0,age,0.0002928118477731372,0.0004552291964562525,0.0007977985037635815,2.543976597628354e-06,0.02137526488744209,0.0007985012745308495,1.0
8,300,256,20,108,0,tardos,0.125,0,fnlwgt,0.00011900870511125864,0.0016579799112210092,0.0015876512386896293,1.0067605600531188e-05,226.86987500383808,0.0013205982617241485,1.0
8,300,256,20,108,0,tardos,0.125,0,education-num,1.4332074158218689e-05,0.00017667583656129628,0.00029389429299778126,3.4599886722306445e-07,0.000214981112373701,6.14231749639137e-05,1.0
8,300,256,20,108,0,tardos,0.125,0,capital-gain,0.0015624498249220693,0.09223720034425696,0.03915276058761335,0.005931191619571366,156.24342004238002,0.005128835109486807,0.7831244783243494
8,300,256,20,108,0,tardos,0.125,0,capital-loss,0.0014792888978682936,0.032634396254980096,0.01853894373565581,0.0013379032530914452,6.44378243911427,0.003777525260280634,0.9736421878960966
8,300,256,20,108,0,tardos,0.125,0,hours-per-week,0.00013538169175720386,0.003164996552307974,0.002817685540728344,3.1695025204669177e-05,0.043119068824667525,0.0018734068363993606,0.999999994487407
8,300,256,20,109,0,tardos,0.125,0,age,0.00031637142173195017,0.00047883077054591285,0.0008248862911366356,2.7208886929132067e-06,0.023340806486287412,0.0009827707994226054,1.0
8,300,256,20,109,0,tardos,0.125,0,fnlwgt,0.00011846475196613854,0.0024576671024748773,0.0015659747840752456,9.769296163198506e-06,208.11261939129798,0.0011977519117963853,1.0
8,300,256,20,109,0,tardos,0.125,0,education-num,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,300,256,20,109,0,tardos,0.125,0,capital-gain,0.0019350195037529771,0.10873238529335526,0.04667472135954762,0.008370402446520554,193.50001535579327,0.0060194711464636175,0.5947213684111854
8,300,256,20,109,0,tardos,0.125,0,capital-loss,0.0013743787918693213,0.02970971670593369,0.01684559145731748,0.0011083757516829002,5.9867940173827705,0.0035011209729430837,0.9880205548148414
8,300,256,20,109,0,tardos,0.125,0,hours-per-week,8.774739280542055e-06,0.006516785182170946,0.0038163006202561276,5.8066234997568045e-05,0.06295875433801132,0.001996253186327207,0.9999999346522318
8,300,512,20,100,0,tardos,0.125,0,age,4.2912081139193514e-05,0.0001964559560401372,0.0006869960392290383,1.8856342623353206e-06,0.006572279721139001,0.0004299622247473378,1.0
8,300,512,20,100,0,tardos,0.125,0,fnlwgt,3.7761473874795076e-05,0.0007255721609609632,0.002081245501685684,1.7483468727758994e-05,152.0382052148226,0.0008599244494948977,1.0
8,300,512,20,100,0,tardos,0.125,0,education-num,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,300,512,20,100,0,tardos,0.125,0,capital-gain,0.0020414786009596547,0.1155121029422662,0.04920520631755227,0.00930050345845261,204.14581861736002,0.006295875433801168,0.5366560014109589
8,300,512,20,100,0,tardos,0.125,0,capital-loss,0.0015983068749764007,0.03758509945478798,0.02032075095551148,0.0016087377032650359,6.9622247473971886,0.0038696600227265954,0.9670291197894874
8,300,512,20,100,0,tardos,0.125,0,hours-per-week,4.356031285709315e-05,0.003601875097672315,0.002812006005278943,3.1607647594646945e-05,0.04339547311200495,0.0021498111237369943,0.9999991975494386
8,300,512,20,101,0,tardos,0.125,0,age,0.00014766804392008862,0.00010256490679858296,0.0007545530193272295,2.276516094321467e-06,0.011271152605877906,0.0007370780995669679,1.0
8,300,512,20,101,0,tardos,0.125,0,fnlwgt,0.00013559344625476062,0.00020816205424982118,0.003214574916877438,3.930587058606268e-05,235.2172844814283,0.0013820214366880856,0.9999999999999999
8,300,512,20,101,0,tardos,0.125,0,education-num,2.047439165527483e-06,3.5177289108239036e-05,0.00016061004871145725,1.0323043022800031e-07,3.071158748195642e-05,3.071158748195642e-05,1.0
8,300,512,20,101,0,tardos,0.125,0,capital-gain,0.002016042395613295,0.11529533715401219,0.04893259131099036,0.009198876081447758,201.6022235189292,0.006234452258837231,0.5493976416380126
8,300,512,20,101,0,tardos,0.125,0,capital-loss,0.001694474472142124,0.03786567706867112,0.0207958565697062,0.0016866647646132397,7.381130800651091,0.004115352722582233,0.9445217162454744
8,300,512,20,101,0,tardos,0.125,0,hours-per-week,0.00016891373115077895,0.0032203993543134016,0.0030061427847277275,3.610333736073437e-05,0.045668130585669736,0.0025183501735204783,0.9999447107537522
8,300,512,20,102,0,tardos,0.125,0,age,0.00019268365844844968,0.00017610911864746152,0.0008917256469294207,3.179816665661814e-06,0.015785755965726303,0.0009520592119406368,1.0
8,300,512,20,102,0,tardos,0.125,0,fnlwgt,0.00011080377085163505,0.0023872933108450363,0.001621748814850941,1.0330343570116165e-05,207.6225238782617,0.0011977519117963853,1.0
8,300,512,20,102,0,tardos,0.125,0,education-num,1.4332074158218689e-05,0.00017667583656129628,0.00029389429299779915,3.4599886703419733e-07,0.000214981112373701,6.14231749639137e-05,1.0
8,300,512,20,102,0,tardos,0.125,0,capital-gain,0.0015715070697588233,0.08882080366603304,0.03791579733166304,0.005566983341957285,157.14913546880902,0.005435950984306381,0.719722851227038
8,300,512,20,102,0,tardos,0.125,0,capital-loss,0.001706410816863645,0.03770556715774556,0.020610513044826178,0.0016563858580854532,7.433125518258031,0.004207487485028083,0.9342204870408581
8,300,512,20,102,0,tardos,0.125,0,hours-per-week,0.00026668939741986256,0.0036601878589656274,0.0032472757831906005,4.2135005968561314e-05,0.04769509535947872,0.0027640428733761435,0.999625173425962
8,300,512,20,103,0,tardos,0.125,0,age,0.0003744289432731891,0.0004742152018138129,0.001333021966357975,7.10458860899302e-06,0.029790239857498138,0.0016584257240256917,0.9999999999822512
